ordinal,name,repository,url,commit_sha,scan_status,coverage,verdict,risk_score,file_count,text_files_scanned,text_bytes_scanned,finding_count,critical_count,high_count,medium_count,binary_count,top_rule_ids,error
4001,dsh-web-compat,Visol-456/dsh-web-compat,https://github.com/Visol-456/dsh-web-compat,c20c65df150a25cd44ab3cdf3a236c790dac91a1,ok,full_text_source,high_risk,7,17,16,23127,1,0,1,0,0,PLUGIN_INSTALL_COMMAND,
4002,dsh-web-file-upload,rrvvvnnn/dsh-web-file-upload,https://github.com/rrvvvnnn/dsh-web-file-upload,c6ceebcd32c977a2f7aee94664b706b0ba5b689c,ok,full_text_source,high_risk,10,8,8,30648,2,0,1,1,0,PLUGIN_INSTALL_COMMAND;SENSITIVE_DSH,
4003,dsh-web-launcher,ayingQAQ/dsh-web-launcher,https://github.com/ayingQAQ/dsh-web-launcher,d1065186df86208647b36a9e1b66fcf315748a7e,ok_partial,partial,high_risk,30,17,13,38619,6,0,3,3,3,SHELL_TRUE;PLUGIN_INSTALL_COMMAND;ARBITRARY_PROCESS,binary_like_files_not_decompiled
4004,dsh-web-launcher,hanwuji1/dsh-web-launcher,https://github.com/hanwuji1/dsh-web-launcher,7b2c49694f16225a84f6d88d7be0df6d15fa9fc5,ok_partial,partial,high_risk,45,25,16,54592,8,1,3,4,9,REMOTE_DOWNLOAD_AND_EXECUTION;PLUGIN_INSTALL_COMMAND;ARBITRARY_PROCESS;REMOTE_DOWNLOAD,binary_like_files_not_decompiled
4005,dsh-web-notify,renpengfei1027/dsh-web-notify,https://github.com/renpengfei1027/dsh-web-notify,b44f916af419221ed87a1b0de98b0c2e41e099e5,ok,full_text_source,high_risk,32,31,30,488463,8,0,2,6,0,PLUGIN_INSTALL_COMMAND;DYNAMIC_EVAL;ARBITRARY_PROCESS;FILE_DELETE,
4006,dsh-web-open,bnqzzdf/dsh-web-open,https://github.com/bnqzzdf/dsh-web-open,d13d87e8362be4f03c3439540b09256ed9065499,ok_partial,partial,high_risk,100,13,11,34765,19,3,4,12,1,POWERSHELL_ENCODED;SHELL_TRUE;PLUGIN_INSTALL_COMMAND;SENSITIVE_DSH;ARBITRARY_PROCESS,binary_like_files_not_decompiled
4007,dsh-web-panel,moxingovo/dsh-web-panel,https://github.com/moxingovo/dsh-web-panel,e6b5ca1ea125e16fd827b58a14ddf0cbd058defa,ok_partial,partial,high_risk,48,15,14,43740,8,0,6,2,1,SHELL_TRUE;PLUGIN_INSTALL_COMMAND;ARBITRARY_PROCESS,binary_like_files_not_decompiled
4008,dsh-web-plugin-explain,2710165659/dsh-web-plugin-explain,https://github.com/2710165659/dsh-web-plugin-explain,ac9ebf8fd0ad65342d827c20965573c8b5bfe51b,ok_partial,partial,no_obvious_malicious_findings,0,16,14,42266,0,0,0,0,1,,binary_like_files_not_decompiled
4009,dsh-web-preview,zoumutou/dsh-web-preview,https://github.com/zoumutou/dsh-web-preview,6bba3e8e061a45af4cee6d73d4432721c6306617,ok,full_text_source,high_risk,27,12,12,202108,5,0,3,2,0,PLUGIN_INSTALL_COMMAND;SHELL_TRUE;ARBITRARY_PROCESS,
4010,dsh-web-restart,QIN-SMART/dsh-web-restart,https://github.com/QIN-SMART/dsh-web-restart,a71e313955480fdaaccdd45f17417962dd1806f2,ok,full_text_source,high_risk,105,13,13,39995,20,1,9,10,0,PERSISTENT_EXECUTION_SURFACE;PERSISTENCE_UNIX;SHELL_TRUE;ARBITRARY_PROCESS;SENSITIVE_DSH;REMOTE_DOWNLOAD,
4011,dsh-web-search,haibinwang9/dsh-web-search,https://github.com/haibinwang9/dsh-web-search,1444b566335c5461768b1330bb27c3ed0a91a49e,ok,full_text_source,high_risk,33,12,12,46143,7,0,3,4,0,SHELL_TRUE;SENSITIVE_DSH,
4012,dsh-web-search-codex,Cora093/dsh-web-search-codex,https://github.com/Cora093/dsh-web-search-codex,d9b7f695207586f84f78e190c44e15c4f2c8d7ab,ok,full_text_source,high_risk,124,35,34,129399,40,0,1,39,0,PLUGIN_INSTALL_COMMAND;SENSITIVE_DSH;FILE_DELETE;HARDCODED_PASSWORD,
4013,dsh-web-search-ddg,aooyoo/dsh-web-search-ddg,https://github.com/aooyoo/dsh-web-search-ddg,3b9d739eee558f3318036689526e105bcc156300,ok,full_text_source,high_risk,19,7,7,21762,5,0,1,4,0,SHELL_TRUE;ARBITRARY_PROCESS;FILE_DELETE,
4014,dsh-web-search-firecrawl,elves-ai/dsh-web-search-firecrawl,https://github.com/elves-ai/dsh-web-search-firecrawl,0a86de7809e8275239786b793d6ff417c0a61d44,ok_partial,partial,high_risk,105,29,27,115648,31,0,3,28,1,PLUGIN_INSTALL_COMMAND;SENSITIVE_DSH;FILE_DELETE;HARDCODED_PASSWORD,binary_like_files_not_decompiled
4015,dsh-web-search-openai,flg1217/dsh-web-search-openai,https://github.com/flg1217/dsh-web-search-openai,93838740c9e3344685335ffff60e457e8f38e06e,ok,full_text_source,high_risk,112,22,21,80297,32,0,4,28,0,PLUGIN_INSTALL_COMMAND;SHELL_TRUE;SENSITIVE_DSH;ARBITRARY_PROCESS;FILE_DELETE,
4016,dsh-web-search-responses,herminger/dsh-web-search-responses,https://github.com/herminger/dsh-web-search-responses,5901b349a55e4aab9431877f63f67269b2d7b7b5,ok,full_text_source,high_risk,22,8,8,23618,6,0,1,5,0,SENSITIVE_SOURCE_NETWORK_SINK;SENSITIVE_DSH,
4017,dsh-web-search-searxng,chinng-inta/dsh-web-search-searxng,https://github.com/chinng-inta/dsh-web-search-searxng,923665d552aa81184b86805c649a6dc192335be5,ok,full_text_source,high_risk,13,20,19,75426,3,0,1,2,0,PLUGIN_INSTALL_COMMAND;SENSITIVE_DSH;INSTALL_LIFECYCLE_SCRIPT,
4018,dsh-web-search-tavily,faettt/dsh-web-search-tavily,https://github.com/faettt/dsh-web-search-tavily,871ec341b0712b762e00091b0b3a34e46f02fd73,ok,full_text_source,medium_risk,12,6,6,42973,4,0,0,4,0,SENSITIVE_DSH,
4019,dsh-web-shell,JesmonX/dsh-web-shell,https://github.com/JesmonX/dsh-web-shell,97f9ce4dc3c4c836bab0b8c30afed10a1160b520,ok,full_text_source,high_risk,42,30,30,808909,6,0,6,0,0,SHELL_TRUE;SECRET_LOG,
4020,dsh-web-speech-input,leozou320-ai/dsh-web-speech-input,https://github.com/leozou320-ai/dsh-web-speech-input,8b1450792de9809c3a2d32e905739bf37d9b0478,ok,full_text_source,no_obvious_malicious_findings,0,9,9,18387,0,0,0,0,0,,
4021,dsh-web-tailscale,osmondlee/dsh-web-tailscale,https://github.com/osmondlee/dsh-web-tailscale,f71a73f6a39a4fbfc8f8fe66a77ed1041c9a6613,ok,full_text_source,high_risk,57,4,4,25140,12,1,3,8,0,SENSITIVE_SOURCE_NETWORK_SINK;PLUGIN_INSTALL_COMMAND;BIND_ALL_INTERFACES;SENSITIVE_DSH,
4022,dsh-web-terminal,iamsee123/dsh-web-terminal,https://github.com/iamsee123/dsh-web-terminal,7015bacb80840836dbbcbccab2b43a44c6adde49,ok,full_text_source,high_risk,46,29,28,96850,10,0,4,6,0,PLUGIN_INSTALL_COMMAND;DYNAMIC_EVAL;INSTALL_LIFECYCLE_SCRIPT;FILE_DELETE;SENSITIVE_DSH;ARBITRARY_PROCESS,
